trial_nr	onset	event_type	phase	response	nr_frames	onset_abs	duration
1	0.011356830596923828	stim	0		120	1.3106017112731934	1.9990131855010986
1	2.0103700160980225	stim	1		0	3.309614896774292	0.002544879913330078
4	2.0129148960113525	stim	0		120	3.312159776687622	1.9962639808654785
4	4.009178876876831	stim	1		0	5.308423757553101	0.002540111541748047
3	4.011718988418579	stim	0		54	5.310963869094849	0.8969039916992188
